"topic_id","current_stage","overall_status","last_updated","notes","research_approval","topic_approval","deep_research_approval","content_approval","seo_approval","publication_approval"
"TOPIC-124","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.263Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-125","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.265Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-127","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.266Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-129","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.268Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-130","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.270Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-132","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.272Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-133","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.274Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-134","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.277Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-136","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.279Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-137","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.281Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-138","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.283Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-139","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.285Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-140","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.288Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-141","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.290Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-142","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.293Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-144","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.295Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-145","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.297Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-146","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.299Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-147","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.302Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-149","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.304Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-150","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.307Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-151","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.309Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-152","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.312Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-153","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.314Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-154","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.317Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-155","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.319Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-156","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.322Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-157","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.324Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-158","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.326Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-159","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.329Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-160","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.331Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-162","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.334Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-163","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.336Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-164","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.339Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-165","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.342Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-166","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.345Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-167","Deep Topic Research","Deep Research Approved","2025-10-12T16:28:00.347Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-169","Publication","Content Published","2025-10-12T19:40:10.721Z","Published to WordPress/Sanity.","Not Started","Not Started","Not Started","Pending","Pending","Published"
"TOPIC-171","Publication","Content Published","2025-10-13T07:56:04.029Z","Published to WordPress/Sanity.","Not Started","Not Started","Not Started","Pending","Approved","Published"
"TOPIC-172","Publication","Content Published","2025-10-16T13:41:46.564Z","Published to WordPress/Sanity.","Not Started","Not Started","Not Started","Pending","Not Started","Published"
"TOPIC-173","Publication","Content Published","2025-10-16T14:02:01.582Z","Published to WordPress/Sanity.","Not Started","Not Started","Not Started","Pending","Approved","Published"
"TOPIC-174","Publication","Content Published","2025-10-21T13:18:07.503Z","Published to WordPress/Sanity.","Not Started","Not Started","Not Started","Pending","Approved","Published"
"TOPIC-178","Publication","Content Published","2025-10-23T16:14:28.228Z","Published to WordPress/Sanity.","Not Started","Not Started","Not Started","Pending","Approved","Published"
"TOPIC-179","SEO Optimization","SEO Metadata Pending Review","2025-10-23T16:13:39.888Z","Review SEO metadata in created-content.csv.","Not Started","Not Started","Not Started","Pending","Pending","Not Started"
"TOPIC-181","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.888Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-183","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.891Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-184","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.893Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-185","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.897Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-186","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.900Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-188","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.902Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-189","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.905Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-190","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.909Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-192","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.912Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-193","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.915Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-194","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.918Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-195","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.922Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-197","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.926Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-198","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.930Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-199","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.933Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-200","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.937Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-201","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.940Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-202","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.943Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-203","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.946Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-204","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.949Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-205","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.953Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-206","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.956Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-207","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.959Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-208","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.963Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-209","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.966Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-210","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.969Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-211","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.973Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-212","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.976Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-213","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.980Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-214","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.983Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-215","Deep Topic Research","Deep Research Approved","2025-10-12T16:54:20.987Z","Deep research auto-approved. Content creation unlocked.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-319","Publication","Content Published","2025-10-12T20:01:37.554Z","Published to WordPress/Sanity.","Not Started","Not Started","Approved","Pending","Pending","Published"
"TOPIC-320","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.880Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-321","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.884Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-323","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.888Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-324","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.893Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-325","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.898Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-326","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.902Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-327","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.905Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-328","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.909Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-329","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.912Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-331","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.915Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-332","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.918Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-333","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.922Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-335","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.925Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-336","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.929Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-337","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.933Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-339","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.936Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-340","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.939Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-341","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.943Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-342","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.947Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-343","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.950Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-344","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.953Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-345","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.957Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
"TOPIC-346","Deep Topic Research","Deep Research Completed","2025-10-12T19:13:01.960Z","Deep research ready. Awaiting manual approval.","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started"
